Object[11454], Relative count = 1, Enemy count = 342
Object[9686], Relative count = 1, Enemy count = 4
Object[13352], Relative count = 1, Enemy count = 4
Object[1895], Relative count = 1, Enemy count = 7
Object[11473], Relative count = 1, Enemy count = 7
Object[11601], Relative count = 1, Enemy count = 3
Object[3876], Relative count = 1, Enemy count = 19
Object[455], Relative count = 1, Enemy count = 3
Object[13480], Relative count = 1, Enemy count = 2
Object[13465], Relative count = 1, Enemy count = 11
Object[13261], Relative count = 1, Enemy count = 3
Object[7529], Relative count = 1, Enemy count = 2
Object[6967], Relative count = 1, Enemy count = 3
Object[5566], Relative count = 1, Enemy count = 5
Object[3931], Relative count = 1, Enemy count = 19
Object[7548], Relative count = 1, Enemy count = 3
Object[3896], Relative count = 2, Enemy count = 3
Object[8691], Relative count = 3, Enemy count = 5
Object[2008], Relative count = 1, Enemy count = 8
Object[3939], Relative count = 1, Enemy count = 4
Object[1896], Relative count = 1, Enemy count = 7
Object[7527], Relative count = 1, Enemy count = 11
Object[7495], Relative count = 2, Enemy count = 3
Object[5692], Relative count = 1, Enemy count = 3
Object[1919], Relative count = 1, Enemy count = 9
Object[1984], Relative count = 3, Enemy count = 7
Object[1904], Relative count = 1, Enemy count = 3
Object[9043], Relative count = 1, Enemy count = 35
Object[5518], Relative count = 1, Enemy count = 5
Object[7700], Relative count = 1, Enemy count = 2
Object[9369], Relative count = 1, Enemy count = 6
Object[7538], Relative count = 2, Enemy count = 3
Object[4003], Relative count = 1, Enemy count = 12
Object[3902], Relative count = 1, Enemy count = 4
Object[7492], Relative count = 1, Enemy count = 3
Object[3937], Relative count = 1, Enemy count = 2
Object[13488], Relative count = 1, Enemy count = 5
Object[3965], Relative count = 3, Enemy count = 5
Object[8237], Relative count = 1, Enemy count = 12
Object[13505], Relative count = 1, Enemy count = 2
Object[4551], Relative count = 1, Enemy count = 12
Object[9008], Relative count = 2, Enemy count = 21
Object[4028], Relative count = 3, Enemy count = 30
Object[7133], Relative count = 1, Enemy count = 4
Object[4497], Relative count = 1, Enemy count = 5
Object[6459], Relative count = 1, Enemy count = 3
Object[3962], Relative count = 1, Enemy count = 26
Object[2024], Relative count = 1, Enemy count = 2
Object[13512], Relative count = 1, Enemy count = 2
Object[8280], Relative count = 1, Enemy count = 2
Object[6954], Relative count = 2, Enemy count = 5
Object[2338], Relative count = 1, Enemy count = 4
Object[2363], Relative count = 1, Enemy count = 2
Object[3991], Relative count = 3, Enemy count = 8
Object[2191], Relative count = 1, Enemy count = 3
Object[2262], Relative count = 2, Enemy count = 4
Object[2349], Relative count = 1, Enemy count = 4
Object[13538], Relative count = 2, Enemy count = 5
Object[13600], Relative count = 1, Enemy count = 2
Object[7013], Relative count = 1, Enemy count = 4
Object[4461], Relative count = 1, Enemy count = 3
Object[2395], Relative count = 1, Enemy count = 14
Object[8452], Relative count = 1, Enemy count = 2
Object[7311], Relative count = 2, Enemy count = 4
Object[2161], Relative count = 1, Enemy count = 5
Object[401], Relative count = 1, Enemy count = 4
Object[2476], Relative count = 1, Enemy count = 5
Object[6128], Relative count = 1, Enemy count = 41
Object[2219], Relative count = 1, Enemy count = 2
Object[13592], Relative count = 1, Enemy count = 3
Object[10058], Relative count = 1, Enemy count = 2
Object[2306], Relative count = 1, Enemy count = 5

Object[13514], Relative count = 1, Enemy count = 2
Object[6983], Relative count = 2, Enemy count = 10
Object[2226], Relative count = 2, Enemy count = 3
Object[13599], Relative count = 1, Enemy count = 3
Object[2334], Relative count = 1, Enemy count = 8
Object[4245], Relative count = 1, Enemy count = 8
Object[13518], Relative count = 1, Enemy count = 3
Object[7283], Relative count = 1, Enemy count = 3
Object[2025], Relative count = 1, Enemy count = 15
Object[5519], Relative count = 2, Enemy count = 3
Object[4055], Relative count = 1, Enemy count = 8
Object[8490], Relative count = 1, Enemy count = 3
Object[10039], Relative count = 1, Enemy count = 2
Object[2208], Relative count = 1, Enemy count = 4
Object[13509], Relative count = 1, Enemy count = 2
Object[2308], Relative count = 1, Enemy count = 2
Object[4142], Relative count = 2, Enemy count = 5
Object[3951], Relative count = 1, Enemy count = 2
Object[7211], Relative count = 1, Enemy count = 6
Object[2174], Relative count = 1, Enemy count = 2
Object[293], Relative count = 1, Enemy count = 2
Object[2355], Relative count = 1, Enemy count = 2
Object[9526], Relative count = 1, Enemy count = 15
bject[3995], Relative count = 5, Enemy count = 7
Object[2196], Relative count = 1, Enemy count = 2
Object[2581], Relative count = 1, Enemy count = 16
Object[10063], Relative count = 1, Enemy count = 3
Object[7415], Relative count = 1, Enemy count = 23
Object[7491], Relative count = 1, Enemy count = 3
Object[2013], Relative count = 1, Enemy count = 3
Object[2448], Relative count = 1, Enemy count = 16
Object[2619], Relative count = 1, Enemy count = 29
Object[2620], Relative count = 1, Enemy count = 45
Object[5823], Relative count = 1, Enemy count = 5
Object[12318], Relative count = 1, Enemy count = 2
Object[13379], Relative count = 2, Enemy count = 3
Object[7536], Relative count = 1, Enemy count = 6
Object[1922], Relative count = 3, Enemy count = 4
Object[7582], Relative count = 1, Enemy count = 13
Object[7484], Relative count = 1, Enemy count = 10
Object[8154], Relative count = 1, Enemy count = 4
Object[7288], Relative count = 1, Enemy count = 11
Object[7244], Relative count = 1, Enemy count = 12
Object[4608], Relative count = 1, Enemy count = 23
Object[2339], Relative count = 4, Enemy count = 5
Object[7468], Relative count = 1, Enemy count = 7
Object[8184], Relative count = 1, Enemy count = 2
Object[2542], Relative count = 1, Enemy count = 5
Object[4471], Relative count = 1, Enemy count = 5
Object[4009], Relative count = 1, Enemy count = 2
Object[2610], Relative count = 3, Enemy count = 6
Object[13032], Relative count = 1, Enemy count = 4
Object[7519], Relative count = 2, Enemy count = 3
Object[3969], Relative count = 2, Enemy count = 5
Object[3990], Relative count = 1, Enemy count = 5
Object[6491], Relative count = 1, Enemy count = 2
Object[1914], Relative count = 1, Enemy count = 4
Object[7331], Relative count = 1, Enemy count = 13
Object[4300], Relative count = 1, Enemy count = 3
Object[5525], Relative count = 1, Enemy count = 3
Object[4024], Relative count = 1, Enemy count = 3
Object[4882], Relative count = 2, Enemy count = 62
Object[4477], Relative count = 2, Enemy count = 9
Object[4147], Relative count = 4, Enemy count = 5
Object[2538], Relative count = 1, Enemy count = 3
Object[7374], Relative count = 1, Enemy count = 5
Object[2038], Relative count = 1, Enemy count = 2
Object[12911], Relative count = 1, Enemy count = 3
Object[4505], Relative count = 1, Enemy count = 3
Object[4137], Relative count = 1, Enemy count = 6
Object[2676], Relative count = 1, Enemy count = 4

Object[2783], Relative count = 2, Enemy count = 9
Object[12945], Relative count = 1, Enemy count = 2
Object[645], Relative count = 1, Enemy count = 2
Object[12983], Relative count = 1, Enemy count = 2
Object[2087], Relative count = 1, Enemy count = 8
Object[1983], Relative count = 1, Enemy count = 20
Object[4620], Relative count = 1, Enemy count = 5
Object[8871], Relative count = 1, Enemy count = 9
Object[4653], Relative count = 1, Enemy count = 6
Object[2050], Relative count = 1, Enemy count = 3
Object[9957], Relative count = 1, Enemy count = 3
Object[7539], Relative count = 2, Enemy count = 3

Object[4658], Relative count = 1, Enemy count = 11
Object[4932], Relative count = 1, Enemy count = 11
Object[7528], Relative count = 1, Enemy count = 5
Object[7565], Relative count = 1, Enemy count = 16
Object[12649], Relative count = 1, Enemy count = 2
Object[2595], Relative count = 1, Enemy count = 5
Object[4192], Relative count = 1, Enemy count = 3

Object[2068], Relative count = 1, Enemy count = 15
Object[12775], Relative count = 1, Enemy count = 2
Object[4340], Relative count = 1, Enemy count = 3
Object[2438], Relative count = 1, Enemy count = 5
Object[2557], Relative count = 1, Enemy count = 8
Object[7332], Relative count = 1, Enemy count = 2
Object[7494], Relative count = 2, Enemy count = 8
Object[4269], Relative count = 1, Enemy count = 25
Object[4905], Relative count = 2, Enemy count = 53
bject[7129], Relative count = 1, Enemy count = 2
Object[2526], Relative count = 1, Enemy count = 11
Object[4422], Relative count = 3, Enemy count = 11
Object[13033], Relative count = 1, Enemy count = 2
Object[4270], Relative count = 1, Enemy count = 71
Object[4394], Relative count = 2, Enemy count = 23
Object[5270], Relative count = 1, Enemy count = 30
Object[2018], Relative count = 2, Enemy count = 5
Object[4199], Relative count = 1, Enemy count = 21
Object[306], Relative count = 1, Enemy count = 2
Object[13113], Relative count = 2, Enemy count = 3
Object[4662], Relative count = 4, Enemy count = 6
Object[2591], Relative count = 1, Enemy count = 16
Object[2544], Relative count = 2, Enemy count = 5
Object[5245], Relative count = 3, Enemy count = 6
Object[1969], Relative count = 1, Enemy count = 17
Object[7513], Relative count = 2, Enemy count = 3
Object[7634], Relative count = 1, Enemy count = 6
Object[4996], Relative count = 1, Enemy count = 2
Object[632], Relative count = 2, Enemy count = 3

Object[13253], Relative count = 1, Enemy count = 2
Object[9529], Relative count = 1, Enemy count = 2

Object[7580], Relative count = 1, Enemy count = 2
Object[7610], Relative count = 1, Enemy count = 5
Object[5123], Relative count = 1, Enemy count = 2

Object[5452], Relative count = 1, Enemy count = 7
Object[7524], Relative count = 1, Enemy count = 7

Object[4320], Relative count = 1, Enemy count = 8

Object[7076], Relative count = 1, Enemy count = 2
Object[7482], Relative count = 1, Enemy count = 3
Object[12970], Relative count = 1, Enemy count = 2
Object[2840], Relative count = 1, Enemy count = 15
Object[2590], Relative count = 1, Enemy count = 7
Object[2082], Relative count = 1, Enemy count = 3
Object[2804], Relative count = 2, Enemy count = 10
Object[2513], Relative count = 1, Enemy count = 3

Object[12875], Relative count = 1, Enemy count = 2
Object[13156], Relative count = 1, Enemy count = 5
Object[6215], Relative count = 1, Enemy count = 4
Object[12940], Relative count = 1, Enemy count = 6
Object[5158], Relative count = 2, Enemy count = 14
Object[7564], Relative count = 1, Enemy count = 4
Object[5429], Relative count = 2, Enemy count = 4
Object[5151], Relative count = 1, Enemy count = 40
Object[7510], Relative count = 1, Enemy count = 3
Object[3878], Relative count = 1, Enemy count = 14
Object[9898], Relative count = 1, Enemy count = 3
Object[1961], Relative count = 1, Enemy count = 15
Object[2873], Relative count = 1, Enemy count = 2
Object[7575], Relative count = 1, Enemy count = 4
Object[7522], Relative count = 1, Enemy count = 3
Object[5058], Relative count = 2, Enemy count = 4
Object[9990], Relative count = 3, Enemy count = 13
Object[442], Relative count = 1, Enemy count = 3
Object[7347], Relative count = 1, Enemy count = 11
Object[9604], Relative count = 1, Enemy count = 2
Object[6399], Relative count = 1, Enemy count = 40
Object[7545], Relative count = 1, Enemy count = 3
Object[13451], Relative count = 1, Enemy count = 8
Object[4889], Relative count = 1, Enemy count = 14
Object[5127], Relative count = 1, Enemy count = 11
Object[13245], Relative count = 1, Enemy count = 3
Object[13196], Relative count = 1, Enemy count = 2
Object[2991], Relative count = 1, Enemy count = 6
Object[2009], Relative count = 1, Enemy count = 18
Object[7146], Relative count = 1, Enemy count = 4
Object[4649], Relative count = 5, Enemy count = 6
Object[13220], Relative count = 1, Enemy count = 3
Object[5262], Relative count = 2, Enemy count = 11
Object[13215], Relative count = 1, Enemy count = 4
Object[5119], Relative count = 1, Enemy count = 4
Object[2845], Relative count = 2, Enemy count = 6
Object[7515], Relative count = 1, Enemy count = 7
Object[7551], Relative count = 1, Enemy count = 5
Object[2659], Relative count = 2, Enemy count = 10
Object[2781], Relative count = 1, Enemy count = 2
Object[2536], Relative count = 1, Enemy count = 5
Object[9830], Relative count = 1, Enemy count = 7
Object[7537], Relative count = 1, Enemy count = 2
Object[4583], Relative count = 2, Enemy count = 6
Object[3935], Relative count = 3, Enemy count = 4
Object[9904], Relative count = 1, Enemy count = 2
Object[2996], Relative count = 3, Enemy count = 4
Object[7595], Relative count = 1, Enemy count = 2
Object[7422], Relative count = 1, Enemy count = 3
Object[13046], Relative count = 1, Enemy count = 3
Object[12758], Relative count = 2, Enemy count = 3
Object[891], Relative count = 1, Enemy count = 2
0
Object[13165], Relative count = 1, Enemy count = 2
Object[7617], Relative count = 2, Enemy count = 9
Object[13269], Relative count = 1, Enemy count = 2
Object[6259], Relative count = 1, Enemy count = 7

Object[7552], Relative count = 1, Enemy count = 2
Object[7562], Relative count = 2, Enemy count = 5
Object[13308], Relative count = 1, Enemy count = 3
Object[7507], Relative count = 1, Enemy count = 2
Object[13264], Relative count = 1, Enemy count = 2
Object[2114], Relative count = 1, Enemy count = 9
Object[2828], Relative count = 1, Enemy count = 9
Object[3886], Relative count = 2, Enemy count = 5
Object[13334], Relative count = 1, Enemy count = 5
Object[7596], Relative count = 1, Enemy count = 4
Object[13384], Relative count = 1, Enemy count = 3
Object[2582], Relative count = 1, Enemy count = 3
Object[2108], Relative count = 1, Enemy count = 19
Object[13305], Relative count = 1, Enemy count = 3
Object[9660], Relative count = 1, Enemy count = 3
Object[9890], Relative count = 1, Enemy count = 3
Object[13417], Relative count = 1, Enemy count = 2
Object[13426], Relative count = 1, Enemy count = 9
Object[13389], Relative count = 1, Enemy count = 13
Object[2696], Relative count = 2, Enemy count = 5
Object[7541], Relative count = 1, Enemy count = 2
Object[7602], Relative count = 1, Enemy count = 4
Object[13302], Relative count = 1, Enemy count = 4
Object[13172], Relative count = 1, Enemy count = 4
Object[13378], Relative count = 1, Enemy count = 2
Object[13486], Relative count = 1, Enemy count = 3
Object[2074], Relative count = 1, Enemy count = 6
Object[13469], Relative count = 1, Enemy count = 3
Object[13545], Relative count = 1, Enemy count = 3
Object[13362], Relative count = 1, Enemy count = 5
Object[7765], Relative count = 1, Enemy count = 2
Object[7632], Relative count = 1, Enemy count = 7
Object[13424], Relative count = 2, Enemy count = 4
Object[1030], Relative count = 1, Enemy count = 3
Object[7802], Relative count = 1, Enemy count = 8
Object[13466], Relative count = 3, Enemy count = 4
Object[2007], Relative count = 1, Enemy count = 20
Object[7557], Relative count = 2, Enemy count = 3
Object[1402], Relative count = 1, Enemy count = 2
Object[13342], Relative count = 2, Enemy count = 4
Object[13536], Relative count = 1, Enemy count = 5
