===== FindStandartObjects Started at 11/16/2021 6:10:34 PM
{ ObjectIndex = 12989, Radius = 0.0408391720820946 }
{ ObjectIndex = 9775, Radius = 0.126972833353473 }
{ ObjectIndex = 9690, Radius = 0.130125620689643 }
{ ObjectIndex = 9311, Radius = 0.130520401399278 }
{ ObjectIndex = 9984, Radius = 0.133709919964273 }
{ ObjectIndex = 9964, Radius = 0.134031132798625 }
{ ObjectIndex = 8817, Radius = 0.134202533952483 }
{ ObjectIndex = 9161, Radius = 0.137334196579441 }
{ ObjectIndex = 9629, Radius = 0.13915237934175 }
{ ObjectIndex = 8288, Radius = 0.14045821862598 }
{ ObjectIndex = 9630, Radius = 0.141978615585587 }
{ ObjectIndex = 8947, Radius = 0.142172217095567 }
{ ObjectIndex = 9855, Radius = 0.143815118392946 }
{ ObjectIndex = 9671, Radius = 0.144236016643454 }
{ ObjectIndex = 9914, Radius = 0.144290176449461 }
{ ObjectIndex = 9944, Radius = 0.144307671163722 }
{ ObjectIndex = 8862, Radius = 0.146554761001324 }
{ ObjectIndex = 8938, Radius = 0.14665732312074 }
{ ObjectIndex = 8063, Radius = 0.14817714404139 }
{ ObjectIndex = 9138, Radius = 0.14894437524016 }
{ ObjectIndex = 8811, Radius = 0.151145853524439 }
{ ObjectIndex = 9853, Radius = 0.151345403489937 }
{ ObjectIndex = 9086, Radius = 0.151357003659225 }
{ ObjectIndex = 9260, Radius = 0.151574595184062 }
{ ObjectIndex = 7833, Radius = 0.152292307305113 }
{ ObjectIndex = 9791, Radius = 0.152842429445222 }
{ ObjectIndex = 9813, Radius = 0.157153854335243 }
{ ObjectIndex = 9414, Radius = 0.157802377225187 }
{ ObjectIndex = 8560, Radius = 0.158371837939993 }
{ ObjectIndex = 9709, Radius = 0.160253577130018 }
{ ObjectIndex = 9657, Radius = 0.160898763981512 }
{ ObjectIndex = 9374, Radius = 0.161516564170724 }
{ ObjectIndex = 9946, Radius = 0.164559306369642 }
{ ObjectIndex = 9172, Radius = 0.168514786448203 }
{ ObjectIndex = 9198, Radius = 0.17062599208116 }
{ ObjectIndex = 9449, Radius = 0.173614129041747 }
{ ObjectIndex = 9841, Radius = 0.176958668625742 }
{ ObjectIndex = 8315, Radius = 0.179092804667268 }
{ ObjectIndex = 9541, Radius = 0.183663963159455 }
{ ObjectIndex = 9651, Radius = 0.183766476118548 }
{ ObjectIndex = 8352, Radius = 0.185735371300199 }
{ ObjectIndex = 9183, Radius = 0.189229903190564 }
{ ObjectIndex = 9912, Radius = 0.228183322628122 }
{ ObjectIndex = 9201, Radius = 0.230858132652023 }
{ ObjectIndex = 8578, Radius = 0.233864839655466 }
{ ObjectIndex = 8651, Radius = 0.274895987205208 }
{ ObjectIndex = 1166, Radius = 0.0503379996056761 }
{ ObjectIndex = 1201, Radius = 0.0512040798880845 }
{ ObjectIndex = 1411, Radius = 0.0537175750577435 }
{ ObjectIndex = 1266, Radius = 0.0554232365579113 }
{ ObjectIndex = 1164, Radius = 0.0574489503123447 }
{ ObjectIndex = 961, Radius = 0.059221227002355 }
{ ObjectIndex = 750, Radius = 0.0610575153971985 }
{ ObjectIndex = 677, Radius = 0.0632648951636971 }
{ ObjectIndex = 1210, Radius = 0.0643876168242139 }
{ ObjectIndex = 1078, Radius = 0.0689333893032123 }
{ ObjectIndex = 1774, Radius = 0.0702808719839766 }
{ ObjectIndex = 653, Radius = 0.0717192349254937 }
{ ObjectIndex = 1385, Radius = 0.0720790547402294 }
{ ObjectIndex = 1010, Radius = 0.0725484177243569 }
{ ObjectIndex = 1450, Radius = 0.0784353633375388 }
{ ObjectIndex = 1891, Radius = 0.0816049537626758 }
{ ObjectIndex = 492, Radius = 0.0846006558470938 }
{ ObjectIndex = 101, Radius = 0.084950071564088 }
{ ObjectIndex = 1975, Radius = 0.0949771025221432 }
{ ObjectIndex = 316, Radius = 0.0988372559254059 }
{ ObjectIndex = 1563, Radius = 0.104912906917829 }
{ ObjectIndex = 1423, Radius = 0.116859304122362 }
{ ObjectIndex = 1265, Radius = 0.125990902546668 }
{ ObjectIndex = 1642, Radius = 0.132615418416752 }
{ ObjectIndex = 1175, Radius = 0.136442288531534 }
{ ObjectIndex = 1892, Radius = 0.136670356323576 }
{ ObjectIndex = 802, Radius = 0.141787878836975 }
{ ObjectIndex = 1902, Radius = 0.142026277458931 }
{ ObjectIndex = 1733, Radius = 0.142176633290532 }
{ ObjectIndex = 328, Radius = 0.153508753275657 }
{ ObjectIndex = 838, Radius = 0.164972903322578 }
{ ObjectIndex = 72, Radius = 0.200299575497108 }
{ ObjectIndex = 1043, Radius = 0.20187489027246 }
{ ObjectIndex = 1875, Radius = 0.219676894815686 }
{ ObjectIndex = 2000, Radius = 0.23018196481793 }
{ ObjectIndex = 2005, Radius = 0.292644203080345 }
{ ObjectIndex = 1352, Radius = 0.34281722823149 }
{ ObjectIndex = 1305, Radius = 0.595623636560499 }
{ ObjectIndex = 7069, Radius = 0.0765527930452524 }
{ ObjectIndex = 7310, Radius = 0.102102563482779 }
{ ObjectIndex = 5694, Radius = 0.108054457898358 }
{ ObjectIndex = 7068, Radius = 0.112386184950796 }
{ ObjectIndex = 6257, Radius = 0.115468619839974 }
{ ObjectIndex = 7080, Radius = 0.122870796465108 }
{ ObjectIndex = 6679, Radius = 0.135016292006345 }
{ ObjectIndex = 6938, Radius = 0.145812232295768 }
{ ObjectIndex = 5570, Radius = 0.150126964191187 }
{ ObjectIndex = 6195, Radius = 0.1526996330181 }
{ ObjectIndex = 6440, Radius = 0.153651355701182 }
{ ObjectIndex = 7162, Radius = 0.15590984141375 }
{ ObjectIndex = 7096, Radius = 0.162547410526018 }
{ ObjectIndex = 6740, Radius = 0.163796830716033 }
{ ObjectIndex = 6554, Radius = 0.165144999419225 }
{ ObjectIndex = 5922, Radius = 0.167201432285895 }
{ ObjectIndex = 6217, Radius = 0.170504262448909 }
{ ObjectIndex = 6966, Radius = 0.172645087692258 }
{ ObjectIndex = 7128, Radius = 0.173453246969583 }
{ ObjectIndex = 6609, Radius = 0.174287253483655 }
{ ObjectIndex = 5534, Radius = 0.177266434231417 }
{ ObjectIndex = 5546, Radius = 0.177755748419606 }
{ ObjectIndex = 7034, Radius = 0.186623790159317 }
{ ObjectIndex = 6225, Radius = 0.189899030287524 }
{ ObjectIndex = 5559, Radius = 0.191661602612006 }
{ ObjectIndex = 6388, Radius = 0.192901162740612 }
{ ObjectIndex = 6451, Radius = 0.199387357203824 }
{ ObjectIndex = 6635, Radius = 0.205891682140678 }
{ ObjectIndex = 6973, Radius = 0.207437702863575 }
{ ObjectIndex = 6197, Radius = 0.207567057512509 }
{ ObjectIndex = 5858, Radius = 0.20919313320763 }
{ ObjectIndex = 7379, Radius = 0.211062973716413 }
{ ObjectIndex = 7392, Radius = 0.213742275518272 }
{ ObjectIndex = 5833, Radius = 0.213842775682336 }
{ ObjectIndex = 7352, Radius = 0.219146562128202 }
{ ObjectIndex = 7019, Radius = 0.219836858657949 }
{ ObjectIndex = 6866, Radius = 0.220935546301585 }
{ ObjectIndex = 7361, Radius = 0.23405355166543 }
{ ObjectIndex = 6770, Radius = 0.235949649262534 }
{ ObjectIndex = 7260, Radius = 0.243088179726783 }
{ ObjectIndex = 6698, Radius = 0.245766067552203 }
{ ObjectIndex = 6405, Radius = 0.246094623763979 }
{ ObjectIndex = 7297, Radius = 0.248452708009939 }
{ ObjectIndex = 7103, Radius = 0.257197701129814 }
{ ObjectIndex = 7334, Radius = 0.258648277680104 }
{ ObjectIndex = 7200, Radius = 0.262292489529743 }
{ ObjectIndex = 6474, Radius = 0.265192111697584 }
{ ObjectIndex = 6631, Radius = 0.271604024625869 }
{ ObjectIndex = 7140, Radius = 0.272018389896335 }
{ ObjectIndex = 6829, Radius = 0.27647041552477 }
{ ObjectIndex = 7172, Radius = 0.282319273180739 }
{ ObjectIndex = 7155, Radius = 0.287992502800724 }
{ ObjectIndex = 6742, Radius = 0.334036478546496 }
{ ObjectIndex = 5846, Radius = 0.462167553118975 }
{ ObjectIndex = 6824, Radius = 0.547148490602913 }
{ ObjectIndex = 4075, Radius = 0.0699054304114475 }
{ ObjectIndex = 4127, Radius = 0.077432316183989 }
{ ObjectIndex = 4065, Radius = 0.0825854260087146 }
{ ObjectIndex = 3918, Radius = 0.0877897300523061 }
{ ObjectIndex = 3945, Radius = 0.0891448896116168 }
{ ObjectIndex = 3974, Radius = 0.0951332879768368 }
{ ObjectIndex = 3934, Radius = 0.10125966120836 }
{ ObjectIndex = 4095, Radius = 0.104566349096165 }
{ ObjectIndex = 4027, Radius = 0.111889531179623 }
{ ObjectIndex = 4457, Radius = 0.113360567316702 }
{ ObjectIndex = 4060, Radius = 0.119291338170544 }
{ ObjectIndex = 4081, Radius = 0.121004742002107 }
{ ObjectIndex = 3903, Radius = 0.12179136201752 }
{ ObjectIndex = 3967, Radius = 0.122209448901077 }
{ ObjectIndex = 4035, Radius = 0.123095681882683 }
{ ObjectIndex = 5022, Radius = 0.123103512781492 }
{ ObjectIndex = 4063, Radius = 0.123384875246511 }
{ ObjectIndex = 3966, Radius = 0.123885895913627 }
{ ObjectIndex = 3989, Radius = 0.124414687065648 }
{ ObjectIndex = 4002, Radius = 0.124969765274927 }
{ ObjectIndex = 4058, Radius = 0.126580285187457 }
{ ObjectIndex = 4084, Radius = 0.127460139089606 }
{ ObjectIndex = 4227, Radius = 0.12852380409991 }
{ ObjectIndex = 4840, Radius = 0.129169847346776 }
{ ObjectIndex = 4859, Radius = 0.129480838117785 }
{ ObjectIndex = 4287, Radius = 0.130059176935986 }
{ ObjectIndex = 4896, Radius = 0.132393326135553 }
{ ObjectIndex = 4372, Radius = 0.134756034870766 }
{ ObjectIndex = 4386, Radius = 0.135617518487003 }
{ ObjectIndex = 4153, Radius = 0.139659681907475 }
{ ObjectIndex = 4278, Radius = 0.143881598148292 }
{ ObjectIndex = 4186, Radius = 0.144585710966247 }
{ ObjectIndex = 4972, Radius = 0.148578610310521 }
{ ObjectIndex = 4864, Radius = 0.148831113135504 }
{ ObjectIndex = 4815, Radius = 0.149278723033345 }
{ ObjectIndex = 4118, Radius = 0.15124639671495 }
{ ObjectIndex = 5067, Radius = 0.151389842158845 }
{ ObjectIndex = 4365, Radius = 0.151836992496102 }
{ ObjectIndex = 4420, Radius = 0.152287574152668 }
